obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('48',)",33.3428993225,1,0,1029.29603622,29,29,2,3.33428993225,29,29,3724598992.7,3724598992.78,3659645396.03,44.36829,-124.9528,0.0,34.1024195232,29,29,internal_timestamp,516.83001709,29,29,28254,1450656596,5.48629999161,29,29,3659645396.03
"('49',)",33.3628005981,1,0,1029.28591535,29,29,2,3.33628005981,29,13,3724598992.7,3724598992.78,3659645407.02,44.36829,-124.9528,0.0,34.1004431703,29,29,internal_timestamp,515.679992676,29,29,24461,1450656607,5.51119995117,29,29,3659645407.02
"('50',)",33.365398407,1,0,1029.28085584,29,29,2,3.3365398407,29,13,3724598992.7,3724598992.78,3659645418.03,44.36829,-124.9528,0.0,34.1011312554,29,29,internal_timestamp,514.539978027,29,29,33071,1450656618,5.51399993896,29,29,3659645418.03
"('51',)",33.3660011292,1,0,1029.27553776,29,29,2,3.33660011292,29,13,3724598992.7,3724598992.79,3659645429.03,44.36829,-124.9528,0.0,34.1011646242,29,29,internal_timestamp,513.409973145,29,29,30276,1450656629,5.51520013809,29,29,3659645429.03
"('52',)",33.3657989502,1,0,1029.27065508,29,29,2,3.33657989502,29,13,3724598992.7,3724598992.79,3659645440.04,44.36829,-124.9528,0.0,34.101491259,29,29,internal_timestamp,512.289978027,29,29,36640,1450656640,5.51520013809,29,29,3659645440.04
"('53',)",33.3670005798,1,0,1029.26553509,29,29,2,3.33670005798,29,13,3724598992.7,3724598992.79,3659645451.03,44.36829,-124.9528,0.0,34.1016851036,29,29,internal_timestamp,511.190002441,29,29,32644,1450656651,5.51690006256,29,29,3659645451.03
"('54',)",33.3671989441,1,0,1029.26091584,29,29,2,3.33671989441,29,13,3724598992.7,3724598992.79,3659645462.03,44.36829,-124.9528,0.0,34.1018061424,29,29,internal_timestamp,510.179992676,29,29,28737,1450656662,5.51749992371,29,29,3659645462.03
"('55',)",33.3728981018,1,0,1029.25428318,29,29,2,3.33728981018,29,13,3724598992.7,3724598992.79,3659645473.03,44.36829,-124.9528,0.0,34.1003709672,29,29,internal_timestamp,509.220001221,29,29,34761,1450656673,5.52580022812,29,29,3659645473.03
"('56',)",33.3726005554,1,0,1029.25024754,29,29,2,3.33726005554,29,13,3724598992.7,3724598992.79,3659645484.03,44.36829,-124.9528,0.0,34.1005911964,29,29,internal_timestamp,508.299987793,29,29,32037,1450656684,5.52570009232,29,29,3659645484.03
"('57',)",33.3815002441,1,0,1029.24299556,29,29,2,3.33815002441,29,13,3724598992.7,3724598992.79,3659645495.04,44.36829,-124.9528,0.0,34.0995065177,29,29,internal_timestamp,507.239990234,29,29,44652,1450656695,5.53730010986,29,29,3659645495.04
"('58',)",33.4003982544,1,0,1029.23068409,29,29,2,3.34003982544,29,13,3724598992.7,3724598992.79,3659645506.03,44.36829,-124.9528,0.0,34.0951937764,29,29,internal_timestamp,506.049987793,29,29,33755,1450656706,5.56339979172,29,29,3659645506.03
"('59',)",33.4169998169,1,0,1029.22070725,29,29,2,3.34169998169,29,13,3724598992.7,3724598992.79,3659645517.04,44.36829,-124.9528,0.0,34.0934602698,29,29,internal_timestamp,504.779998779,29,29,39695,1450656717,5.584400177,29,29,3659645517.04
"('60',)",33.4197998047,1,0,1029.21479524,29,29,2,3.34197998047,29,13,3724598992.7,3724598992.79,3659645528.05,44.36829,-124.9528,0.0,34.0937136018,29,29,internal_timestamp,503.549987793,29,29,45579,1450656728,5.58790016174,29,29,3659645528.05
"('61',)",33.4216003418,1,0,1029.20864867,29,29,2,3.34216003418,29,13,3724598992.7,3724598992.79,3659645539.04,44.36829,-124.9528,0.0,34.0936510147,29,29,internal_timestamp,502.299987793,29,29,42530,1450656739,5.59060001373,29,29,3659645539.04
"('62',)",33.4241981506,1,0,1029.20235309,29,29,2,3.34241981506,29,13,3724598992.7,3724598992.79,3659645550.04,44.36829,-124.9528,0.0,34.0932517221,29,29,internal_timestamp,501.109985352,29,29,39155,1450656750,5.59450006485,29,29,3659645550.04
"('63',)",33.4253997803,1,0,1029.19750577,29,29,2,3.34253997803,29,13,3724598992.7,3724598992.79,3659645561.05,44.36829,-124.9528,0.0,34.0931884176,29,29,internal_timestamp,500.119995117,29,29,45836,1450656761,5.59639978409,29,29,3659645561.05
"('64',)",33.4273986816,1,0,1029.19261942,29,29,2,3.34273986816,29,13,3724598992.7,3724598992.79,3659645572.05,44.36829,-124.9528,0.0,34.093110725,29,29,internal_timestamp,499.149993896,29,29,48512,1450656772,5.59919977188,29,29,3659645572.05
"('65',)",33.4319000244,1,0,1029.18641022,29,29,2,3.34319000244,29,13,3724598992.7,3724598992.79,3659645583.05,44.36829,-124.9528,0.0,34.0921518379,29,29,internal_timestamp,498.149993896,29,29,49886,1450656783,5.60570001602,29,29,3659645583.05
"('66',)",33.4387016296,1,0,1029.17991866,29,29,2,3.34387016296,29,13,3724598992.7,3724598992.79,3659645594.05,44.36829,-124.9528,0.0,34.0910566344,29,29,internal_timestamp,497.190002441,29,29,46916,1450656794,5.61490011215,29,29,3659645594.05
"('67',)",33.4551010132,1,0,1029.16977985,29,29,2,3.34551010132,29,13,3724598992.7,3724598992.79,3659645605.04,44.36829,-124.9528,0.0,34.0884150917,29,29,internal_timestamp,496.059997559,29,29,42131,1450656805,5.63649988174,29,29,3659645605.04
"('68',)",33.4618988037,1,0,1029.16281124,29,29,2,3.34618988037,29,13,3724598992.7,3724598992.79,3659645616.05,44.36829,-124.9528,0.0,34.0872583048,29,29,internal_timestamp,495.010009766,29,29,49460,1450656816,5.64580011368,29,29,3659645616.05
"('69',)",33.4668998718,1,0,1029.15783602,29,29,2,3.34668998718,29,13,3724598992.7,3724598992.79,3659645627.05,44.36829,-124.9528,0.0,34.0872182059,29,29,internal_timestamp,494.109985352,29,29,46895,1450656827,5.65189981461,29,29,3659645627.05
"('70',)",33.4668006897,1,0,1029.15452143,29,29,2,3.34668006897,29,13,3724598992.7,3724598992.79,3659645638.05,44.36829,-124.9528,0.0,34.0875976074,29,29,internal_timestamp,493.320007324,29,29,52622,1450656838,5.65180015564,29,29,3659645638.05
"('71',)",33.4715003967,1,0,1029.14934283,29,29,2,3.34715003967,29,13,3724598992.7,3724598992.79,3659645649.05,44.36829,-124.9528,0.0,34.0864267995,29,29,internal_timestamp,492.589996338,29,29,47174,1450656849,5.65859985352,29,29,3659645649.05
"('72',)",33.4753990173,1,0,1029.14469743,29,29,2,3.34753990173,29,13,3724598992.7,3724598992.8,3659645660.05,44.36829,-124.9528,0.0,34.0862118562,29,29,internal_timestamp,491.760009766,29,29,52478,1450656860,5.66359996796,29,29,3659645660.05
"('73',)",33.478099823,1,0,1029.13979369,29,29,2,3.3478099823,29,13,3724598992.7,3724598992.8,3659645671.06,44.36829,-124.9528,0.0,34.0857745424,29,29,internal_timestamp,490.880004883,29,29,59194,1450656871,5.66750001907,29,29,3659645671.06
"('74',)",33.4920005798,1,0,1029.13048247,29,29,2,3.34920005798,29,13,3724598992.7,3724598992.8,3659645682.05,44.36829,-124.9528,0.0,34.0831785637,29,29,internal_timestamp,489.839996338,29,29,52408,1450656882,5.68620014191,29,29,3659645682.05
"('75',)",33.4994010925,1,0,1029.12369298,29,29,2,3.34994010925,29,13,3724598992.7,3724598992.8,3659645693.06,44.36829,-124.9528,0.0,34.0825201379,29,29,internal_timestamp,488.75,29,29,57255,1450656893,5.69570016861,29,29,3659645693.06
"('76',)",33.5012016296,1,0,1029.11883014,29,29,2,3.35012016296,29,13,3724598992.7,3724598992.8,3659645704.05,44.36829,-124.9528,0.0,34.0826391966,29,29,internal_timestamp,487.739990234,29,29,52179,1450656904,5.69810009003,29,29,3659645704.05
"('77',)",33.5041999817,1,0,1029.1128872,29,29,2,3.35041999817,29,13,3724598992.7,3724598992.8,3659645715.06,44.36829,-124.9528,0.0,34.0821335998,29,29,internal_timestamp,486.660003662,29,29,56946,1450656915,5.70249986649,29,29,3659645715.06
"('78',)",33.5083999634,1,0,1029.10680045,29,29,2,3.35083999634,29,13,3724598992.7,3724598992.8,3659645726.05,44.36829,-124.9528,0.0,34.0815664433,29,29,internal_timestamp,485.600006104,29,29,52651,1450656926,5.70830011368,29,29,3659645726.05
"('79',)",33.5102005005,1,0,1029.10192852,29,29,2,3.35102005005,29,13,3724598992.7,3724598992.8,3659645737.06,44.36829,-124.9528,0.0,34.0815746406,29,29,internal_timestamp,484.609985352,29,29,61891,1450656937,5.7108001709,29,29,3659645737.06
"('80',)",33.5181007385,1,0,1029.09474697,29,29,2,3.35181007385,29,13,3724598992.7,3724598992.8,3659645748.06,44.36829,-124.9528,0.0,34.0800162454,29,29,internal_timestamp,483.630004883,29,29,56987,1450656948,5.7217001915,29,29,3659645748.06
"('81',)",33.5200004578,1,0,1029.08954343,29,29,2,3.35200004578,29,13,3724598992.7,3724598992.8,3659645759.07,44.36829,-124.9528,0.0,34.0801862157,29,29,internal_timestamp,482.540008545,29,29,65207,1450656959,5.72419977188,29,29,3659645759.07
"('82',)",33.5218009949,1,0,1029.08307377,29,29,2,3.35218009949,29,13,3724598992.7,3724598992.8,3659645770.06,44.36829,-124.9528,0.0,34.0798244155,29,29,internal_timestamp,481.279998779,29,29,59797,1450656970,5.72720003128,29,29,3659645770.06
"('83',)",33.5225982666,1,0,1029.07595718,29,29,2,3.35225982666,29,13,3724598992.7,3724598992.8,3659645781.06,44.36829,-124.9528,0.0,34.0793044511,29,29,internal_timestamp,479.880004883,29,29,57550,1450656981,5.72930002213,29,29,3659645781.06
"('84',)",33.5228004456,1,0,1029.06851204,29,29,2,3.35228004456,29,13,3724598992.7,3724598992.8,3659645792.06,44.36829,-124.9528,0.0,34.0774198791,29,29,internal_timestamp,478.660003662,29,29,64811,1450656992,5.73199987411,29,29,3659645792.06
"('85',)",33.520198822,1,0,1029.06242725,29,29,2,3.3520198822,29,13,3724598992.7,3724598992.8,3659645803.07,44.36829,-124.9528,0.0,34.0761519955,29,29,internal_timestamp,477.519989014,29,29,71320,1450657003,5.73089981079,29,29,3659645803.07
