obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('51',)",3.48706007004,29,13,1026.79933934,29,13,14,3779218458.39,3779218533.07,3771215405.87,44.63218,-124.30797,0.0,internal_timestamp,72.9130020142,29,29,1562226605.87,33.8955993652,29,29,0,7.61870002747,29,29,3771215405.87
"('52',)",3.48706007004,29,13,1026.79922394,29,13,14,3779218458.39,3779218533.07,3771215405.93,44.63218,-124.30797,0.0,internal_timestamp,72.9079971313,29,29,1562226605.93,33.8955001831,29,29,0,7.61880016327,29,29,3771215405.93
"('53',)",3.48706007004,29,13,1026.79918125,29,13,14,3779218458.39,3779218533.07,3771215405.99,44.63218,-124.30797,0.0,internal_timestamp,72.9049987793,29,29,1562226605.99,33.8955001831,29,29,0,7.61899995804,29,29,3771215405.99
"('54',)",3.48707008362,29,13,1026.79917207,29,13,14,3779218458.39,3779218533.07,3771215406.06,44.63218,-124.30797,0.0,internal_timestamp,72.9029998779,29,29,1562226606.06,33.8955001831,29,29,0,7.61899995804,29,29,3771215406.06
"('55',)",3.48707008362,29,13,1026.79914452,29,13,14,3779218458.39,3779218533.07,3771215406.12,44.63218,-124.30797,0.0,internal_timestamp,72.8970031738,29,29,1562226606.12,33.8955001831,29,29,0,7.61899995804,29,29,3771215406.12
"('56',)",3.48707008362,29,13,1026.79912613,29,13,14,3779218458.39,3779218533.07,3771215406.18,44.63218,-124.30797,0.0,internal_timestamp,72.8929977417,29,29,1562226606.18,33.8955001831,29,29,0,7.61899995804,29,29,3771215406.18
"('57',)",3.48706007004,29,13,1026.79902453,29,13,14,3779218458.39,3779218533.07,3771215406.25,44.63218,-124.30797,0.0,internal_timestamp,72.8909988403,29,29,1562226606.25,33.895401001,29,29,0,7.61910009384,29,29,3771215406.25
"('58',)",3.48707008362,29,13,1026.79892826,29,13,14,3779218458.39,3779218533.07,3771215406.31,44.63218,-124.30797,0.0,internal_timestamp,72.8870010376,29,29,1562226606.31,33.8953018188,29,29,0,7.61910009384,29,29,3771215406.31
"('59',)",3.48707008362,29,13,1026.79889999,29,13,14,3779218458.39,3779218533.07,3771215406.37,44.63218,-124.30797,0.0,internal_timestamp,72.8840026855,29,29,1562226606.37,33.8953018188,29,29,0,7.61920022964,29,29,3771215406.37
"('60',)",3.4870800972,29,13,1026.79887638,29,13,14,3779218458.39,3779218533.07,3771215406.43,44.63218,-124.30797,0.0,internal_timestamp,72.8820037842,29,29,1562226606.43,33.8953018188,29,29,0,7.61929988861,29,29,3771215406.43
