obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('54',)",3.64860010147,29,13,1025.66190274,29,13,8,3742914133.81,3742914134.1,3722239649.05,44.64102,-124.30216,0.0,internal_timestamp,75.6380004883,29,29,1513250849.05,32.9842987061,29,29,0,10.376999855,29,29,3722239649.05
"('55',)",3.64860010147,29,13,1025.66192089,29,13,8,3742914133.81,3742914134.1,3722239649.11,44.64102,-124.30216,0.0,internal_timestamp,75.641998291,29,29,1513250849.11,32.9842987061,29,29,0,10.376999855,29,29,3722239649.11
"('56',)",3.64859008789,29,13,1025.66188359,29,13,8,3742914133.81,3742914134.1,3722239649.17,44.64102,-124.30216,0.0,internal_timestamp,75.6299972534,29,29,1513250849.17,32.9842987061,29,29,0,10.3768997192,29,29,3722239649.17
"('57',)",3.64858007431,29,13,1025.66177,29,13,8,3742914133.81,3742914134.1,3722239649.23,44.64102,-124.30216,0.0,internal_timestamp,75.6220016479,29,29,1513250849.23,32.9841995239,29,29,0,10.3768997192,29,29,3722239649.23
"('58',)",3.64858007431,29,13,1025.66176092,29,13,8,3742914133.81,3742914134.1,3722239649.3,44.64102,-124.30216,0.0,internal_timestamp,75.6200027466,29,29,1513250849.3,32.9841995239,29,29,0,10.3768997192,29,29,3722239649.3
"('59',)",3.64856004715,29,13,1025.66159272,29,13,8,3742914133.81,3742914134.1,3722239649.36,44.64102,-124.30216,0.0,internal_timestamp,75.6169967651,29,29,1513250849.36,32.9840011597,29,29,0,10.3768997192,29,29,3722239649.36
"('60',)",3.64855003357,29,13,1025.66139076,29,13,8,3742914133.81,3742914134.1,3722239649.42,44.64102,-124.30216,0.0,internal_timestamp,75.611000061,29,29,1513250849.42,32.9837989807,29,29,0,10.376999855,29,29,3722239649.42
"('61',)",3.64854001999,29,13,1025.66128625,29,13,8,3742914133.81,3742914134.1,3722239649.48,44.64102,-124.30216,0.0,internal_timestamp,75.6050033569,29,29,1513250849.48,32.9836997986,29,29,0,10.376999855,29,29,3722239649.48
"('62',)",3.64854001999,29,13,1025.66125898,29,13,8,3742914133.81,3742914134.1,3722239649.55,44.64102,-124.30216,0.0,internal_timestamp,75.5989990234,29,29,1513250849.55,32.9836997986,29,29,0,10.376999855,29,29,3722239649.55
"('63',)",3.64855003357,29,13,1025.66122815,29,13,8,3742914133.81,3742914134.1,3722239649.61,44.64102,-124.30216,0.0,internal_timestamp,75.5960006714,29,29,1513250849.61,32.9836997986,29,29,0,10.3770999908,29,29,3722239649.61
"('64',)",3.64855003357,29,13,1025.66119278,29,13,8,3742914133.81,3742914134.1,3722239649.67,44.64102,-124.30216,0.0,internal_timestamp,75.5920028687,29,29,1513250849.67,32.9836997986,29,29,0,10.3772001266,29,29,3722239649.67
"('65',)",3.64855003357,29,13,1025.66106195,29,13,8,3742914133.81,3742914134.1,3722239649.73,44.64102,-124.30216,0.0,internal_timestamp,75.5839996338,29,29,1513250849.73,32.9836006165,29,29,0,10.3773002625,29,29,3722239649.73
"('66',)",3.64855003357,29,13,1025.66095385,29,13,8,3742914133.81,3742914134.1,3722239649.79,44.64102,-124.30216,0.0,internal_timestamp,75.5810012817,29,29,1513250849.79,32.9835014343,29,29,0,10.3774003983,29,29,3722239649.79
"('67',)",3.64855003357,29,13,1025.66094477,29,13,8,3742914133.81,3742914134.1,3722239649.86,44.64102,-124.30216,0.0,internal_timestamp,75.5790023804,29,29,1513250849.86,32.9835014343,29,29,0,10.3774003983,29,29,3722239649.86
"('68',)",3.64856004715,29,13,1025.66099931,29,13,8,3742914133.81,3742914134.1,3722239649.92,44.64102,-124.30216,0.0,internal_timestamp,75.5739974976,29,29,1513250849.92,32.9836006165,29,29,0,10.3774003983,29,29,3722239649.92
"('69',)",3.64858007431,29,13,1025.66112661,29,13,8,3742914133.81,3742914134.1,3722239649.98,44.64102,-124.30216,0.0,internal_timestamp,75.5680007935,29,29,1513250849.98,32.9837989807,29,29,0,10.3774003983,29,29,3722239649.98
"('70',)",3.64858007431,29,13,1025.66110391,29,13,8,3742914133.81,3742914134.11,3722239650.05,44.64102,-124.30216,0.0,internal_timestamp,75.56300354,29,29,1513250850.05,32.9837989807,29,29,0,10.3774003983,29,29,3722239650.05
