obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,time,temp,temp_qc_executed,temp_qc_results,time
"('31',)",33.94049835,1,0,1028.683967,29,29,5,3.394049835,29,29,3774706964,3774706965,3771187908,44.36829,-124.9528,0,34.0482462,29,29,internal_timestamp,415.4700012,29,29,100521,1562199108,6.260099888,29,29,3771187908
"('32',)",33.95270157,1,0,1028.656871,29,29,5,3.395270157,29,29,3774706964,3774706965,3771187928,44.36829,-124.9528,0,34.0476946,29,29,internal_timestamp,410.1600037,29,29,104793,1562199128,6.276899815,29,29,3771187928
"('33',)",33.95669937,1,0,1028.631247,29,29,5,3.395669937,29,29,3774706964,3774706965,3771187948,44.36829,-124.9528,0,34.04736982,29,29,internal_timestamp,404.8500061,29,29,104197,1562199148,6.28429985,29,29,3771187948
"('34',)",33.96020126,1,0,1028.607059,29,29,5,3.396020126,29,29,3774706964,3774706965,3771187968,44.36829,-124.9528,0,34.04837208,29,29,internal_timestamp,399.5700073,29,29,103928,1562199168,6.289800167,29,29,3771187968
"('35',)",33.95750046,1,0,1028.582863,29,29,5,3.395750046,29,29,3774706964,3774706965,3771187988,44.36829,-124.9528,0,34.04823671,29,29,internal_timestamp,394.3099976,29,29,102529,1562199188,6.289500237,29,29,3771187988
"('36',)",33.95669937,1,0,1028.558504,29,29,5,3.395669937,29,29,3774706964,3774706965,3771188008,44.36829,-124.9528,0,34.04844441,29,29,internal_timestamp,389.0100098,29,29,141483,1562199208,6.290999889,29,29,3771188008
"('37',)",33.95640183,1,0,1028.534114,29,29,5,3.395640183,29,29,3774706964,3774706965,3771188028,44.36829,-124.9528,0,34.04860572,29,29,internal_timestamp,383.730011,29,29,119067,1562199228,6.29309988,29,29,3771188028
"('38',)",33.9659996,1,0,1028.507494,29,29,5,3.39659996,29,29,3774706964,3774706965,3771188048,44.36829,-124.9528,0,34.04769907,29,29,internal_timestamp,378.5100098,29,29,140128,1562199248,6.307300091,29,29,3771188048
"('39',)",33.97230148,1,0,1028.481319,29,29,5,3.397230148,29,29,3774706964,3774706965,3771188068,44.36829,-124.9528,0,34.04692891,29,29,internal_timestamp,373.25,29,29,113484,1562199268,6.317699909,29,29,3771188068
"('40',)",33.97800064,1,0,1028.455252,29,29,5,3.397800064,29,29,3774706964,3774706965,3771188088,44.36829,-124.9528,0,34.04607577,29,29,internal_timestamp,368.0100098,29,29,114606,1562199288,6.327499866,29,29,3771188088
